Uganda,Zambia
15 (12 to 19),15 (12 to 19)
35 (29 to 41),35 (29 to 41)
29 (23 to 35),29 (23 to 35)
49 (43 to 55),49 (43 to 55)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (96 to 99),97 (96 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 4),3 (1 to 4)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 49),43 (37 to 49)
26 (15 to 38),26 (15 to 38)
92 (85 to 98),92 (85 to 98)
82 (72 to 92),82 (72 to 92)
77 (64 to 88),77 (64 to 88)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 63),57 (51 to 63)
74 (62 to 85),74 (62 to 85)
8 (2 to 15),8 (2 to 15)
18 (8 to 28),18 (8 to 28)
23 (12 to 36),23 (12 to 36)
19 (15 to 24),19 (15 to 24)
100 (100 to 100),100 (100 to 100)
70 (64 to 75),70 (64 to 75)
74 (69 to 79),74 (69 to 79)
2 (0 to 3),2 (0 to 3)
21 (16 to 25),21 (16 to 25)
14 (10 to 18),14 (10 to 18)
8 (6 to 11),8 (6 to 11)
20 (14 to 27),20 (14 to 27)
13 (7 to 20),13 (7 to 20)
34 (27 to 40),34 (27 to 40)
-6 (-9 to -4),-6 (-9 to -4)
14 (8 to 20),14 (8 to 20)
20 (14 to 27),20 (14 to 27)
19 (16 to 21),19 (16 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 15),13 (12 to 14)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-8 to -4)
-5 (-7 to -3),-5 (-8 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
1 (0 to 3),1 (0 to 3)
0 (-1 to 2),0 (-1 to 2)
-1247 (-1398 to -1102),-1245 (-1396 to -1100)
-827 (-877 to -786),-826 (-878 to -785)
-892 (-971 to -827),-891 (-964 to -823)
-925 (-1014 to -851),-924 (-1016 to -850)
419 (277 to 575),418 (276 to 567)
355 (215 to 494),354 (223 to 501)
322 (190 to 465),321 (187 to 466)
-65 (-125 to -18),-65 (-126 to -17)
-98 (-185 to -24),-98 (-187 to -26)
-33 (-119 to 50),-33 (-117 to 49)
-509 (-570 to -449),-509 (-571 to -450)
-338 (-358 to -321),-338 (-359 to -321)
-364 (-396 to -337),-364 (-394 to -337)
-377 (-414 to -347),-378 (-415 to -347)
171 (113 to 235),171 (113 to 232)
145 (88 to 201),145 (91 to 205)
131 (78 to 190),131 (77 to 191)
-26 (-51 to -7),-26 (-51 to -7)
-40 (-75 to -10),-40 (-76 to -11)
-13 (-49 to 20),-14 (-48 to 20)
32 (29 to 36),37 (33 to 42)
108 (104 to 111),124 (120 to 129)
82 (75 to 88),94 (87 to 102)
85 (79 to 91),97 (90 to 104)
75 (70 to 80),87 (81 to 93)
49 (42 to 56),57 (48 to 65)
53 (46 to 60),60 (52 to 68)
-26 (-32 to -20),-30 (-37 to -24)
-23 (-29 to -16),-27 (-35 to -20)
3 (-4 to 11),3 (-6 to 12)
17.94,20.8
13.91,16
16.36,18.65
39.97,47.1
23.16,27.88
-9.9,-9.68
43.99,50.89
34.1,39.12
40.09,45.61
97.98,115.22
56.77,68.19
-24.28,-23.69
